Date;Month ctr;Month;Year;Clicks;Conversions;Costs;Revenue
01.01.15;0;1;2015;14626,47;315,40;1664,84;103727,89
01.02.15;1;2;2015;10419,53;244,53;1198,29;81291,27
01.03.15;2;3;2015;9990,60;234,00;1125,87;79442,84
01.04.15;3;4;2015;9582,00;228,20;1137,18;70272,03
01.05.15;4;5;2015;12963,73;336,53;1664,70;110542,40
01.06.15;5;6;2015;12707,20;358,00;1527,96;110427,65
01.07.15;6;7;2015;13585,87;401,47;1646,57;129591,42
01.08.15;7;8;2015;12691,33;365,53;1482,82;118006,35
01.09.15;8;9;2015;14638,20;368,00;1756,84;126188,01
01.10.15;9;10;2015;57092,53;1216,33;13014,04;290115,99
01.11.15;10;11;2015;90237,00;2202,80;20002,38;455020,31
01.12.15;11;12;2015;104650,07;3195,67;23058,34;528353,85
01.01.16;12;1;2016;89289,80;2009,67;18378,77;373405,18
01.02.16;13;2;2016;85381,47;2161,47;15672,74;387677,89
01.03.16;14;3;2016;83275,53;2416,80;14556,44;418166,16
01.04.16;15;4;2016;79416,07;2295,13;13860,88;399246,15
01.05.16;16;5;2016;74434,93;2037,47;12761,38;368693,96
01.06.16;17;6;2016;83594,47;2108,93;14693,66;385405,44
01.07.16;18;7;2016;95248,00;2434,47;16908,26;403494,21
01.08.16;19;8;2016;108095,20;2355,13;18921,70;356204,32
01.09.16;20;9;2016;92404,53;1921,73;16806,04;282756,73
01.10.16;21;10;2016;146677,00;2750,13;31553,85;393001,79
01.11.16;22;11;2016;207173,80;4292,60;46412,69;585225,49
01.12.16;23;12;2016;230859,33;5322,53;52442,01;714291,85
01.01.17;24;1;2017;161560,47;2702,07;29215,22;396624,06
01.02.17;25;2;2017;105361,33;1955,93;18421,53;289057,45
01.03.17;26;3;2017;118395,67;2397,60;22995,11;341763,52
01.04.17;27;4;2017;123840,73;2529,27;25868,02;354733,46
01.05.17;28;5;2017;130522,33;2621,73;28881,61;375787,79
01.06.17;29;6;2017;133495,67;2691,13;29190,78;393279,17
01.07.17;30;7;2017;113210,73;2629,53;20307,92;356744,69
01.08.17;31;8;2017;79298,40;2211,13;12721,26;313610,42
01.09.17;32;9;2017;78393,67;1940,80;12754,11;313799,92
01.10.17;33;10;2017;101286,80;2480,47;18313,51;414636,09
01.11.17;34;11;2017;184325,67;4484,40;36309,52;702458,04
01.12.17;35;12;2017;211286,93;6123,33;44959,23;811750,87
01.01.18;36;1;2018;129919,13;2695,80;22323,71;416488,42
01.02.18;37;2;2018;107319,13;2253,60;17893,40;340661,10
01.03.18;38;3;2018;109306,80;2562,53;17294,94;355320,00
01.04.18;39;4;2018;97799,40;2305,53;16700,30;321343,07
01.05.18;40;5;2018;107835,13;2642,53;19050,90;383717,59
01.06.18;41;6;2018;108415,67;2658,27;19302,46;382649,20
01.07.18;42;7;2018;139895,73;3438,33;25105,00;491440,29
01.08.18;43;8;2018;133017,60;3008,93;22266,35;449531,01
01.09.18;44;9;2018;128849,87;2429,53;19865,68;362340,65
